"scenario_id","scenario_name","total_days","total_work_orders","avg_waiting_time","avg_processing_time","on_time_delivery_rate","median_lead_time_days","p90_lead_time_days","avg_utilization_pct","total_failures","avg_plant_yield","avg_flow_efficiency","avg_daily_throughput","created_at"
"SA-MP1005T365IA1800WP12560SE42R1","Stable_Baseline_365_1800",365,78758,"27795.98788646307773","16867.451700144747","0.48982960461159501257","0.522791295933183","0.683298943188175","0.465126360484251472120939",8776,"0.94946278770170857612","0.39065966159221701147","215.1857923497267760","2026-02-19 19:28:42.933705"
"SB-MP1005T365IA1200WP00SE42R1","Uncontrolled_Growth_365_1200",613,132176,"15231710.97407400605007","16872.716544607190","0.23204666505265706331","190.173095637353","285.621920978874","0.438491730974868935534612",14781,"0.92652701293173683026","0.00380155329557475414","215.2703583061889251","2026-02-19 19:28:42.933705"
"SC-MP1005T365IA1200WP8060SE42R1","Lean_Optimized_365_1200",365,78743,"14384.67574007143153","16867.666395743114","0.49045629452776754759","0.364193690224028","0.448604657161326","0.50931885621035395638",8743,"0.94289903678402849478","0.54555041337148335787","215.1448087431693989","2026-02-19 19:28:42.933705"
