"machine_id","ideal_cycle_time","avg_machine_cycle_time"
10256942,2815,"2862.9172413793101211"
14304683,4298,"4373.2041184971096561"
15280064,2815,"2863.4045198765653714"
36315524,4298,"4347.2061855670104124"
38674760,2815,"2860.4898458748864584"
88737742,4457,"4523.4115226337448560"
103533322,716,"667.7142857142857143"
123488045,2815,"2860.5917664127672526"
141074074,4457,"4527.7149844375275789"
141388463,4298,"4389.7145061728349383"
178464211,1565,"1591.5962375892702021"
179510570,1565,"1615.4895833333332500"
191558644,716,"726.2544934466123780"
220309176,716,"724.2000000000003463"
220713169,1565,"1587.0000000000000000"
225485994,4457,"4529.8398919753085648"
226248810,1565,"1589.6561038043957036"
232715816,4298,"4381.1622448979583776"
234484216,4457,"4531.9433106575971277"
254837838,1565,"1604.2197309417040359"
260960546,1565,"1614.9411764705882353"
276455830,4298,"4362.0738377392889380"
278296318,2815,"2854.9379241697581790"
285456335,4457,"4525.0574269480517390"
289610635,4457,"4529.3746721618587160"
294247335,2815,"2860.9285455204930415"
316693091,1565,"1589.2899198167239509"
319002077,2815,"2863.3825210999180744"
322106576,1565,"1587.2963709677417877"
333442024,716,"755.7449392712550607"
348334942,716,"725.2159848745273297"
351232592,4457,"4503.9104477611940299"
354335198,2815,"2858.2278286076635143"
385183015,2815,"2861.0728014505892514"
388115190,1565,"1596.0706033376123427"
389410461,1565,"1589.2424292297563387"
401045583,1565,"1591.5176041520549379"
404576483,716,"730.5380994410121212"
414938962,2815,"2860.5307824825458007"
417955101,4457,"4499.0639053254437988"
430753429,2815,"2860.6159006436404347"
431084689,4457,"4548.4859580519013822"
435075826,1565,"1590.6041888533900225"
439135239,2815,"2854.4724509183025001"
466396314,2815,"2865.2293161384067988"
468666953,1565,"1545.1443298969072165"
488864249,4298,"4152.1428571428571429"
492307267,716,"729.5996222851746900"
498102702,4298,"4357.5947066956346062"
517912382,2815,"2863.3042018331969563"
530818592,1565,"1596.8868778280542986"
535149167,1565,"1664.3333333333333333"
557633597,4457,"4548.9641350210965717"
559071454,4298,"4371.6775891341251615"
596050571,4298,"4359.0979729729704392"
608327372,716,"731.2272727272727273"
642440758,2815,"2864.9706710251518783"
649554859,1565,"1588.8863154369908270"
660960767,4457,"4523.6530439206372040"
699032178,2815,"2866.3728536385933982"
712268219,716,"721.9558423913043683"
721246371,716,"729.6776104145996972"
741489170,1565,"1589.9058786412871720"
745438564,4298,"4318.3709677419354839"
746060578,4457,"4528.2471308339700467"
747066913,4298,"4361.4772727272727273"
747709079,2815,"2860.2198857971537691"
764912373,4457,"4545.5441478439425051"
774048212,1565,"1623.5000000000000000"
781217825,1565,"1585.1781609195403931"
789632669,4457,"4542.8234035549701781"
799815877,1565,"1595.8732021196063588"
827370796,2815,"2854.5548719804578934"
842060513,4457,"4530.4004854368932585"
847297655,2815,"2858.1115840956432626"
851564834,4298,"4380.5635206199826192"
852795879,716,"728.0655575539569280"
858938786,4298,"4395.3296229802505925"
874727402,716,"736.4425465838509394"
883336381,1565,"1588.9202075098814353"
885163470,2815,"2858.5250520974903343"
888010932,716,"757.5303030303030303"
894321511,1565,"1586.0763076923076022"
948246942,1565,"1592.3904173106644142"
